epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2422.14,0.94595,0.87564,1.16091,0.83703,0.68694,0.74955,0.43252,1.49914,0.96549,1.51232,0.000424187,0.000424187,0.000424187
43,2481.97,0.93656,0.87069,1.15659,0.87556,0.66833,0.75182,0.44282,1.49758,0.91548,1.51834,0.000417119,0.000417119,0.000417119
44,2540.05,0.94027,0.8681,1.16202,0.86067,0.67996,0.75195,0.42994,1.51192,0.95865,1.51747,0.00041005,0.00041005,0.00041005
45,2597.79,0.93212,0.86049,1.15675,0.88124,0.66198,0.75676,0.44494,1.46245,0.94947,1.46801,0.000402982,0.000402982,0.000402982
46,2654.95,0.93435,0.85489,1.15638,0.81134,0.69614,0.74977,0.4398,1.46797,0.95613,1.52099,0.000395913,0.000395913,0.000395913
47,2713.47,0.92046,0.83834,1.14546,0.88418,0.68491,0.75826,0.42525,1.59369,0.95113,1.60142,0.000388844,0.000388844,0.000388844
48,2771.84,0.91637,0.83,1.14373,0.88573,0.68901,0.77636,0.444,1.48907,0.91276,1.52425,0.000381776,0.000381776,0.000381776
49,2828.34,0.91364,0.8281,1.13889,0.88137,0.68185,0.77002,0.44528,1.49185,0.95046,1.5358,0.000374707,0.000374707,0.000374707
50,2885.55,0.92001,0.8323,1.14434,0.87845,0.69482,0.76789,0.4597,1.47205,0.93377,1.45799,0.000367639,0.000367639,0.000367639
51,2943.43,0.90777,0.80797,1.1374,0.8388,0.68557,0.7515,0.47643,1.32908,0.90705,1.38454,0.00036057,0.00036057,0.00036057
52,3002.36,0.9051,0.79968,1.1347,0.91499,0.66191,0.77111,0.45543,1.4575,0.90175,1.4916,0.000353501,0.000353501,0.000353501
53,3059.8,0.8947,0.80201,1.13174,0.84432,0.70506,0.77516,0.47607,1.40306,0.90447,1.45057,0.000346433,0.000346433,0.000346433
54,3118.24,0.89106,0.79847,1.12994,0.91466,0.68664,0.78359,0.4497,1.52147,0.89623,1.54731,0.000339364,0.000339364,0.000339364
55,3177.32,0.89104,0.80287,1.12766,0.89994,0.70765,0.78033,0.46988,1.40491,0.88994,1.44082,0.000332296,0.000332296,0.000332296
56,3235.49,0.89011,0.79047,1.12315,0.87762,0.69412,0.77693,0.47381,1.38701,0.87762,1.43679,0.000325227,0.000325227,0.000325227
57,3292.31,0.88972,0.78607,1.12144,0.88768,0.6968,0.78169,0.47727,1.36368,0.87639,1.42239,0.000318158,0.000318158,0.000318158
58,3348.63,0.88361,0.78449,1.1232,0.89778,0.69299,0.77144,0.47415,1.40806,0.93722,1.46593,0.00031109,0.00031109,0.00031109
59,3408.3,0.87653,0.77833,1.11489,0.84771,0.73327,0.7852,0.48667,1.37309,0.85154,1.42247,0.000304021,0.000304021,0.000304021
60,3466.3,0.87663,0.77637,1.11706,0.93193,0.69717,0.78125,0.48302,1.38062,0.86507,1.45268,0.000296953,0.000296953,0.000296953
61,3523.53,0.87268,0.77083,1.11323,0.88191,0.70666,0.77773,0.47053,1.40308,0.8899,1.4685,0.000289884,0.000289884,0.000289884
62,3580.24,0.87335,0.76332,1.1138,0.89369,0.69891,0.7829,0.47636,1.39669,0.85473,1.44973,0.000282815,0.000282815,0.000282815
63,3638.67,0.86387,0.75144,1.10964,0.91072,0.6969,0.78608,0.48194,1.40042,0.86962,1.44683,0.000275747,0.000275747,0.000275747
64,3696.29,0.86614,0.75221,1.10662,0.88508,0.69663,0.79164,0.48498,1.41842,0.84848,1.45451,0.000268678,0.000268678,0.000268678
65,3753.16,0.86802,0.75774,1.11079,0.92212,0.68774,0.79415,0.49051,1.3774,0.84243,1.41579,0.00026161,0.00026161,0.00026161
66,3810.04,0.85422,0.74371,1.10431,0.92314,0.69625,0.78963,0.48679,1.3781,0.83336,1.42665,0.000254541,0.000254541,0.000254541
67,3867.87,0.85958,0.73962,1.09958,0.90294,0.71564,0.80175,0.47962,1.41548,0.83192,1.46557,0.000247472,0.000247472,0.000247472
68,3925.76,0.8501,0.73592,1.10257,0.88209,0.72915,0.79531,0.48357,1.37519,0.83013,1.43479,0.000240404,0.000240404,0.000240404
69,3981.63,0.84972,0.73252,1.09778,0.89143,0.72659,0.80052,0.48826,1.38317,0.80807,1.45727,0.000233335,0.000233335,0.000233335
70,4039.07,0.84398,0.72405,1.09358,0.88165,0.72597,0.7997,0.483,1.41033,0.82527,1.4767,0.000226267,0.000226267,0.000226267
71,4098.36,0.83483,0.72173,1.09452,0.89581,0.72278,0.80642,0.49864,1.36164,0.80557,1.4236,0.000219198,0.000219198,0.000219198
72,4155.5,0.83545,0.71082,1.08842,0.8555,0.74268,0.80674,0.49955,1.33826,0.7831,1.40177,0.000212129,0.000212129,0.000212129
73,4213.35,0.83918,0.7206,1.09347,0.89316,0.72926,0.80891,0.50793,1.34255,0.78688,1.426,0.000205061,0.000205061,0.000205061
74,4270.33,0.82889,0.70787,1.08615,0.87477,0.7232,0.80445,0.51124,1.30661,0.76735,1.38852,0.000197992,0.000197992,0.000197992
75,4328.75,0.82669,0.70576,1.08502,0.88229,0.72522,0.81105,0.51003,1.33624,0.76322,1.3928,0.000190924,0.000190924,0.000190924
76,4386.97,0.82905,0.71141,1.0885,0.89209,0.73843,0.81168,0.50534,1.35222,0.78561,1.39368,0.000183855,0.000183855,0.000183855
77,4445.47,0.81758,0.69758,1.07934,0.86339,0.76153,0.81748,0.51176,1.29344,0.77691,1.37911,0.000176786,0.000176786,0.000176786
